1641, 968
1646, 979
1646, 979
1646, 979
1647, 982
1647, 982
1647, 982
1647, 983
1647, 983
1647, 983
1647, 986
1647, 986
1647, 986
1649, 989
1649, 990
1649, 990
1649, 990
1973, 765
1972, 765
1972, 763
1972, 763
1970, 759
1970, 759
1970, 758
1970, 758
1969, 758
1969, 757
1969, 757
1968, 757
1968, 756
1968, 756
1967, 756
1967, 756
1967, 756
1967, 756
1966, 756
1966, 756
1966, 756
1965, 756
1761, 798
1761, 798
1760, 798
1760, 798
1757, 796
1757, 796
1757, 795
1757, 795
1757, 794
1974, 630
1974, 630
1975, 631
1975, 632
1977, 632
1977, 633
1978, 633
1978, 634
2108, 682
2062, 610
2062, 610
2061, 610
2061, 610
2060, 610
2060, 610
2059, 610
2058, 610
2058, 610
2057, 610
2057, 610
2056, 610
2055, 610
2055, 610
2054, 610
2054, 610
2053, 610
2053, 610
2052, 610
2052, 610
2052, 609
2052, 609
2052, 609
2052, 608
2052, 608
2053, 608
2053, 607
2053, 607
2054, 607
2055, 607
2055, 606
2055, 606
2056, 606
2056, 606
2056, 606
2056, 605
2056, 605
2056, 605
2056, 605
2056, 605
2056, 605
2055, 606
2054, 606
2054, 606
2053, 607
2053, 607
2052, 608
2051, 609
2050, 609
1980, 631
1977, 633
1974, 634
1853, 662
1852, 662
1851, 663
1850, 663
1849, 664
1849, 664
1848, 664
1847, 664
1846, 664
1846, 664
1845, 664
1845, 664
1844, 664
1844, 664
1844, 664
1845, 664
1845, 664
1846, 664
1846, 664
1846, 664
1846, 663
1847, 663
1848, 663
1848, 663
1849, 663
1849, 663
1850, 662
1850, 662
1851, 662
1852, 662
1852, 662
1853, 661
1853, 661
1854, 661
1897, 638
1898, 638
1899, 638
1899, 637
1899, 637
1899, 637
1900, 637
1900, 636
1901, 636
1901, 636
1901, 636
1902, 635
1901, 634
1901, 634
1900, 634
1900, 634
1899, 634
1899, 634
1898, 634
1897, 634
1897, 634
1664, 654
412, 784
411, 784
410, 784
410, 784
409, 784
408, 784
407, 786
408, 786
408, 786
409, 786
409, 786
410, 786
410, 786
410, 787
411, 787
411, 788
412, 788
412, 788
412, 788
413, 788
413, 788
414, 788
414, 788
465, 790
465, 790
466, 790
466, 790
466, 790
468, 789
469, 788
469, 787
469, 787
469, 786
469, 786
478, 744
478, 743
478, 742
478, 742
478, 742
479, 741
479, 741
479, 740
479, 740
479, 739
479, 738
479, 738
479, 738
479, 738
480, 738
480, 738
480, 738
480, 739
480, 739
480, 740
480, 740
481, 740
481, 741
481, 741
482, 742
482, 743
482, 743
482, 744
482, 744
482, 744
520, 802
520, 802
520, 803
520, 803
520, 804
520, 805
520, 805
520, 805
521, 806
522, 806
522, 806
522, 806
522, 807
523, 807
523, 807
523, 807
524, 807
524, 807
525, 807
525, 807
526, 807
526, 807
543, 753
543, 752
543, 752
543, 750
543, 750
543, 749
543, 748
544, 748
544, 747
544, 746
544, 745
544, 745
544, 744
544, 743
544, 742
545, 742
545, 741
545, 740
545, 739
545, 739
545, 738
545, 738
546, 738
546, 737
546, 737
546, 736
546, 735
546, 735
546, 734
546, 734
546, 733
546, 733
546, 732
546, 731
546, 731
546, 730
546, 730
546, 729
546, 729
546, 729
546, 728
545, 728
545, 728
545, 729
545, 729
545, 730
545, 730
544, 730
544, 731
544, 732
544, 732
544, 733
544, 733
544, 734
544, 734
544, 735
544, 736
544, 736
544, 737
544, 737
544, 738
544, 738
544, 739
544, 740
544, 740
544, 740
544, 741
544, 741
544, 742
544, 742
544, 743
544, 743
544, 744
544, 745
544, 745
544, 746
544, 746
544, 747
544, 747
545, 747
545, 748
545, 749
545, 749
545, 750
545, 750
545, 751
546, 751
546, 752
546, 753
546, 753
546, 754
547, 754
547, 754
559, 758
559, 758
560, 758
560, 758
728, 763
728, 763
729, 763
729, 763
729, 763
742, 752
743, 752
743, 752
743, 751
743, 751
744, 751
744, 750
744, 750
744, 750
744, 749
745, 749
745, 749
745, 749
745, 748
746, 748
746, 748
747, 748
747, 747
747, 747
753, 734
754, 734
754, 733
754, 733
755, 732
755, 732
755, 731
755, 730
755, 730
755, 729
755, 729
755, 728
755, 728
755, 727
755, 726
755, 726
755, 725
755, 725
755, 724
755, 724
755, 723
755, 723
755, 723
755, 722
754, 721
754, 721
754, 721
754, 720
754, 720
753, 720
753, 719
753, 719
753, 719
752, 719
752, 718
752, 717
752, 717
752, 717
752, 717
752, 717
752, 716
752, 716
752, 715
752, 715
752, 714
752, 714
752, 713
752, 713
752, 713
905, 548
906, 548
906, 548
906, 547
906, 546
906, 545
906, 545
906, 544
906, 543
906, 543
906, 542
906, 541
906, 541
906, 540
906, 539
906, 538
906, 537
906, 536
906, 532
906, 531
906, 530
905, 529
893, 421
928, 433
928, 434
926, 435
921, 498
921, 500
921, 501
921, 502
921, 504
919, 518
919, 518
919, 519
918, 520
918, 521
917, 522
917, 522
917, 523
916, 524
916, 525
916, 526
909, 536
908, 536
907, 537
906, 538
905, 539
904, 540
903, 542
901, 543
900, 544
899, 545
898, 546
897, 547
895, 548
894, 549
893, 551
891, 551
846, 580
843, 581
702, 617
696, 618
683, 620
678, 620
397, 587
397, 587
397, 586
677, 525
679, 526
683, 527
683, 528
685, 528
685, 528
686, 529
686, 529
686, 530
687, 531
687, 531
688, 531
688, 531
688, 532
688, 532
691, 541
691, 542
691, 543
691, 543
691, 545
691, 546
691, 546
691, 548
691, 549
691, 550
691, 551
691, 552
691, 553
691, 554
691, 555
691, 556
683, 619
683, 619
683, 621
683, 623
683, 624
683, 625
692, 647
858, 690
962, 671
964, 671
966, 670
969, 669
972, 668
975, 668
977, 666
1124, 569
332, 399
332, 397
332, 397
331, 397
331, 396
331, 396
330, 396
330, 396
330, 395
330, 395
329, 395
329, 395
329, 395
329, 395
329, 395
330, 395
330, 395
331, 395
331, 395
332, 395
333, 395
334, 395
667, 359
667, 359
667, 360
667, 360
667, 362
